user_q,later_q,user_q_count,later_q_count
경동나비엔,경동나비엔온수매트,369,93632
락엔락,락앤락,1,7066
경동 나비엔 ,경동 나비엔,361,361
막대걸레,올터치막대걸레,4578,42378
웰퍼스온수매트,온수매트,93267,93264
식품건조기,리큅 식품건조기,4912,168
뷔아느레,비아느레,0,782
정준호,정준하,5,10
온수매트,일월온수매트,93264,93429
벨기에 라텍스,벨기에 라텍스zh,1869,1869
벨기에 라텍스zh,벨기에 라텍스,1869,1869
벨기에 라텍스zh,벨기에 라텍스코,1869,1869
아가타 터칭 파운데이션 팩트 ,아가타 터칭 파운데이션 ,3760,3760
리프팅 앰플 파운데이션,AHC  리프팅 앰플 파운데이션,792,572
AHC  리프팅 앰플 파운데이션,AHC  파운데이션,572,572
골드 에센스 파운데이션,로얄골드 블랙 레디언트 파운데이션,105190,120160
맥스클리너,맥스클리닉,13674,10349
휠라 레깅스,리복 레깅스,14710,10477
컴팩트 파운데이션,파운데이션,4133,2764
컴팩트 파운데이션,컴팩트 파운데이션세트,4133,4133
아름뜰 둥,아름뜰 두유,0,0
고함량 멀티비타민,함량 멀티비타민,201,110
고함량 멀티비타민,멀티비타민,201,71430
코앤자임,코엔자임,204,18
매직헤어컬러,헤어컬러,142630,127357
펏길,퍼실,0,520
여자 두꺼운 가디건,여자 가디건,31772,31772
A.H.C,A.H.C 순면,688635,688635
삼성 버블위시,삼성 버블워시,18142,18142
삼성 버블위시,삼성 액티브워시,18142,18142
AHC,A.H.C,572,688635
반찬,반찬통,824,535
가자미식혜,가자미식go,0,8076
가자미식혜,가자미식해,0,0
놀이매트,세러 놀이매트,101226,13
놀이매트,세라 놀이매트,101226,14127
uhd모니터,qhd모니터,5355,4761
Puzzle ,Puzzle,656,656
숀리],숀리,0,67
전기매트,전기카페트,102571,35668
이연복 탕수육,이연복 동파육,1,1
시티지,씨티지,87,18
pvtv,pctv,0,0
온수매트,경동 온수매트,93264,361
여성패딩,남성패딩,724045,616417
정형돈 돈까스,정형돈 ,0,0
알렉스 돈,알렉스 돈까스,6654,6654
정형돈 ,정형돈 돈까스,0,0
안네마린보닌,안네마린보,28906,101
안네마린보닌,안네마리보,28906,101
경동나비엔온수매트,경동나비엔온수매트퀸,93632,157585
플루스커러,플루스크럽,651,1862
AHC리얼아이크림,AHC프라이빗리얼아이크림,14210,14321
윌슨 덕다운,윌슨 해비덕다운,5391,5391
초극셋,초극세사,0,48765
풍년압력솥,풍년압력솥10인용,3117,166909
맨투맨,맨투맨티,78889,177157
윔엔나우,윔앤나우,0,0
아이소이 선크림,아이소이 썬크림,472,472
파파레서피,파파레서피 선,27,27
김치냉장고 ,김치냉장고,13821,13821
김치냉장고 ,김치냉장고스탠드,13821,46779
경동나비안온수메트,경동나비엔온수메트,3090,3095
트렉수트,트렉슈트,18322,0
트렉슈트,남성트렉수트,0,573464
김티,김치,0,5449
백종원냄비셋트,백종원냄비방송,42863,31939
벤트리,밴트리,304,1
바이네르컴포트화,바이네르효도화,10952,6966
호비 new1단계,호비 1단계,28,28
이연봉,이연복,236966,1
체크겨울바지,체크겨울여성바지,264835,901981
체크겨울바지,체크여성겨울바지,264835,901981
황금희 골드테라,황금희 골드패치,10,10
황금희 골드패치,황금희 골드테라,10,10
엠씨엄,엠씨엠,0,574
캐시미어 베스트,캐시미어 울 니트,9880,9880
더마쉐이프,더마쉐이퍼,1706,2188
등산화,아등등산화,15450,100379
등산화,아동등산화,15450,91717
뱅뱅청바지,뱅뱅바지,18646,97154
어린이실비보험,어린이보험,15663,15489
면팬츠,팬츠,402420,282332
헤비다운,헤비다웃,67814,4321
아너스무선물걸레청속4,아너스물걸레청소기,295274,84498
온수매트,온수매트1 1,93264,516597
댕만,대만,0,418
바자르,바자르커튼,3218,68290
정장셔츠,남성정장셔츠,265098,768572
경동나비엔온수매트,경동나비엔,93632,369
제이에스티나,제이에스티나귀걸이,37174,110105
유난희쇼,유난희,3550,2
김치냉장고,딤채김치냉장고,13821,13955
롯데홈쇼핑보험,롯데홈쇼핑,739653,739371
구그,구스,0,22718
크림하우스매트,크림하우스,254492,165461
이혜정전복장조림,이혜정전복장,1279,66
이혜정전복장,이혜정전복,66,1522
현대홈쇼핑,현대홈쇼핑 쇼파,735783,735783
방뱅아웃도어,애플아웃도어,43522,60574
견미리,견미리팩트,2,1400
리큅 식품건조기,식품건조기,168,4912
제이코닉 바지,제이코닉,0,0
견과류,견과,276,1262
자동차리스,자동차,22971,16398
자동차,자동차리스,16398,22971
크림하우스,크림하우스1 1,165461,587017
경동나비엔 온수매트 퀸,경동나비엔 온수매트,369,369
케이스위스,케이스위스청바지,21910,35729
네파 고어텍스 내피,네파 고어텍스,13078,13078
소파,쇼파,31681,5357
리클라아너,리클라이너,0,2286
세신퀸센스플로체통3중,세신퀸센스플로체냄비세트,974575,619722
임모복,임부복,0,3290
온수매트,웰퍼스온수매트,93264,93267
홈앤쇼핑,홈엔쇼핑,106184,76985
믹서기,테팔믹서기,1754,6396
이줄,이불,0,71709
화장품,기초화장품,5052,6160
침구류,침구,0,56804
남성바지,남성골프바지,631000,692116
블랙야크신발,블랙야크기즈,310137,282323
블랙야크신발,블랙야크키즈,310137,385129
구스코트,구스 코트,35418,22718
스텐깁스,스텐킵스,22291,80
여행가방세트,여행가방,709894,123657
남자맨투맨,맨투맨,113511,78889
아이오페,아이오페스템셀,507,552
김연아치마레깅스,치마레깅스,78008,77909
라쿤패딩,남자라쿤패딩,75327,110016
남자라쿤패딩,라쿤패딩,110016,75327
비자르 암막커튼,바자르 암막커튼,0,3218
딤채김치냉장고,김치냉장고 ,13955,13821
블랜도,블랜더,0,384
여행용캐리어,여행용캐리어세트,272905,851154
센스맘에어매트리스,센스맘매트리스,116431,55972
분리수거함,분리수거함 덮개,4931,4931
별자리 롤스크린,야광 롤스크린,4424,2665
마키베리,보뚜 마키베리,9662,535
HI쿠쿠압력밥솥 ,HI쿠쿠압력밥솥,6802,6802
넬리팝,낼리팝,0,0
넬리팝,널리팝,0,9
스마트빔,sk스마트빔2,33942,553856
스마트빔,sk스마트빔,33942,40504
리큅 918,리큅 918tb,168,168
이연복칠리새우SR,이연복칠리새우,2556,1182
초경량패딩세트,여성초경량패딩,673003,734885
ahc순면마스크팩,ahc 마스크팩,38494,572
태국여행,태국여행패키지,34760,46677
해외여행패키지,해외여행,51206,39287
쥬니어 점퍼,쥬니어 패딩,3742,3742
삼성냉장고,냉장고,27196,9707
모피워머,밍크워머,7795,27773
냉장고,삼성냉장고,9707,27196
아임홈쇼핑,아임쇼핑,6590,15371
이불세트,차려이불세트,632226,632229
에이스침대,에몬스침대,97666,94931
유산균,착한유산균,1849,4122
케에렉스,케어렉스,94088,19
르쿠르제 ,르쿠르제 냄비,1,1
아디다스골프바지,아디다스골프,236038,154172
경동 나비엔,경동 나비엔 온수매트,361,361
오토비스자동물걸레청소기,오토비스자동물걸레청소기 5500,101016,101016
이연복탕수육,이연복대가탕수육,77,76
리리코스,리리코스 스킨,2320,2320
전복,활전복,1498,1766
바디프래즈,바디프랜즈,25025,25595
앤블리,엔블리,9,0
크로스백,남자크로스백,441031,473045
s9041,필립스 s9041,4,7816
맥포머스 슈퍼스팀,맥포머스 슈퍼,203,203
여항,여행,0,34379
블래박스,블랙박스,0,376629
욕싯ㄴ,욕실,15,11722
고등ㅈ어,고등어,59431,2206
24k팔ㅉ,24k팔찌,55258,51195
디커,디커스,310,93
디커스,디키즈,93,3192
디커스,디커,93,310
여성트렌치코트,여성코트,765480,762625
장수돌침대,장수흙침대,98830,93741
스페인,스페인여행,2685,37054
센스맘에어메트리스커버,센스맘에어매트리스,132352,116431
언더웨어,여성언더웨어,32351,689836
겨울앞치마,기모앞치마,77133,95453
기모앞치마,누빔앞치마,95453,57480
누빔앞치마,앞치마,57480,34516
경동나비엔온수매트,나비엔 온수매트,93632,8
에이워셔,에어워셔,5180,432
흑표흑침대,흐침대,112939,0
흑표흑침대,흑침대,112939,1
돌침대,장수돌침대,1744,98830
혤리한센,헬리한센,65,23
나비연,나비엔,0,8
플라이텍스,플레이텍스,10753,263
일본여행,일본온천여행,45654,45805
쿨튼,쿨트,0,14
애어푸라이어,누 애어 프라이어,0,1347
남자등산바지,남자겨울등산바지,163543,200953
홍콩여행 ,홍콩여행,34706,34706
밀레구스다운,네파구스다운,85555,82098
타임 여성,띠어리 여성,10138,46
견미리팩트,견미리,1400,2
청소기,무선청소기,5716,12654
브리지옷걸이행거,브리즈옷걸이행거,15959,19891
퓨마속옷,푸마속옷,10949,27936
베스트,퍼베스트,60600,100715
침구풀셋트,침대풀셋트,110061,153196
침대풀셋트,침대화장대풀셋트,153196,163655
노스페이스,노스페이스부츠,28283,114463
케이티 스마트폰 리퍼,케이티  스마트폰,1630,1630
노트4,노트5,321720,379772
바닐라비,바닐라b,132,84083
에몬스침대,에이스침대,94931,97666
아메리칸투어리스트,아메리칸투어리스터,6076,6043
쌤소나이트캐리어,쌤소나이트 세트,28702,8002
나비앤온수매트,경동나비앤온수매트,93265,149749
칼로커트,이보영칼로커트,0,29
테팔후라이팬,후라이팬,19360,16061
쉘마도마,셸마도마,0,0
애플비,애플비전집,746,2319
베리테,베리떼,1,317
카페트,온수카페트,25278,27499
에어프라이어,에어프라이,19279,44
리큅믹서기,멀티믹서기,1913,64943
LGu ,LGu 공부,0,0
핀란드 그릇,폴란드그릇,447,8153
경동나비엔 온수매트,경동나비엔 온수 매트,369,369
경동나비엔 온수 매트,경동 온수 매트,369,361
스팀다리미,한경희스팀다리미,3618,4043
그박용우리셋 4주,박용우리셋4주,22885,291195
중거 tv,증거 tv,0,7
아카,아카폰,322,134
금강제화,여성금강제화,74475,728025
드림큐브,드림큐브4,17050,254242
크림하우스,크림하우스 yt,165461,165461
크리스마스,크리스마스 수건,19540,19540
미즈노,미즈노패딩,6989,77292
앵글부츠,앵클부츠,93651,92153
여성언더웨어,언더웨어,689836,32351
등산바지,남성등산바지,130165,661649
이자벨아랑,이자벨마랑,1757,2316
남성옷,남성,565919,555892
비몰드 브라,몰드 없는 브라,5,15725
블루래빗,블루래빗전집,426,1999
가운,다운,5581,66253
페레가모,페레가모벨트,685,65598
속옷함,속옷장,31,2
경동나비엔온수매트,경동나비엔온수매트1 1,93632,516960
아디다스 본딩,아디다스 팬츠,59951,59951
맥엔로건 히트업,맥앤로건 기모셔츠,516,86
여자등산복바지,등산복바지,125245,94226
여성등산복바지,등신복바지,743100,92380
손정와부츠,손정완부츠,86767,86767
남성속옷,남자속옷,565163,44752
지나송웨딩암막커튼 ,지나송웨딩암막커튼,75685,75685
닥터지르트,닥터자르트,0,13182
3단서랍장,5단서랍장,1003186,408427
세면타올,세면타월,12512,7933
이토,아토,37,1705
헤어뽕,헤어속뽕,65,20340
헤어속,헤어뽕,0,65
아디다스밴딩팬츠,아디다스팬츠,356706,336170
아디다스밴딩팬츠,아디다스기모밴딩,356706,157173
아디다스기모밴딩,아디다스기모밴딩팬츠,157173,405756
코렐 프로방스가듬,코렐 프로방스가든,9583,9583
밥통,밥솥,264,2324
귀뚜라미온수매트,귀뚜라미온수매트퀸,93330,157283
아이오페,아이오페인텐스,507,2006
라뽄떼나시,라뽄떼원피스,11974,196797
보드,보드복,26571,7463
아이지엔슬림와이드팬츠,아이지엔슬림팬츠,394986,369193
청바지,바지,13822,92380
해피콜,해피콜냄비,880,30969
전기방너,전기방석,10583,27
오리털조끼,오리털롱조끼,41855,187616
motham,mothan,0,0
행남자,행남자기,459,6117
롯데홈쇼핑,롯데 홈쇼핑암보험,739371,736822
청소기,삼성청소기,5716,23499
차앤박 무제머,차앤박 뮤제너,455,455
스포츠브라,스포츠웨어,151190,99893
아메리칸투어리스터,아메리칸투어리스터 세트,6043,6043
아메리칸투어,아메리칸투어리스트,11948,6076
아메리칸투어리스트,아메리칸 투어리스터,6076,6043
샘소나이트캐리어,샘소나이트,21426,239
속옷세트,여자속옷세트,600477,630983
수납선밧,수납선반,38384,60568
이연복 탕수육,이연복탕수육,1,77
부산미도어묵,미도어묵,1593,710
최유라쇼,최유라,1,0
핸리헨슨,헨리헨스,18,12118
핸리헨슨,헨리헨슨,18,12065
구스다운,남성 구스다운,69995,555892
로우알파인,로우알파인기모팬츠,19738,351012
여성지갑,여성 중지갑,733236,662587
최여진반폴라,최여진목폴라,1134,3102
아디다스이너웨어,아디다스내의,70421,82007
제닉스,제닉스세트,503,593243
트레이닝복,여성트레이닝복,12518,672871
한스데코,한스데코 로제,57370,57370
김치냉장고 ,김치냉장고 소형,13821,13821
lg공기청정기,삼성공기청정기,36810,28098
lg공기청정기,공기청정기,36810,10027
테팔후라이팬,해피콜후라이팬,19360,16752
렌트카,장기렌트카,62,849
a.h.c,ahc,688635,572
클렌져,클렌지ㅣ,933,225
클렌져,클렌저,933,2311
클렌저,클렌징,2311,5562
아디다스골프,아디다스,154172,59951
블루래빗전집,블루래빗,1999,426
와이드팬츠 ,와이드팬츠세트,308709,897720
여자구두,여자부츠,130379,117265
시원스쿨,시원스쿨 1년,11553,11553
물걸레  청소기,무선물걸레청소기,15835,91821
피부유산균,유산균,6014,1849
엘지핸드폰,핸드폰,12647,9758
보그빨대컵,푸고빨대컵,45599,43954
웸 앤 나우,웸앤나우,13,295
치마레깅스,치마레깅수,77909,20347
소프트 베베,소프트 베베 털실,34436,34436
흠집세척사과,흠집사과,6691,0
자이글,자이글심플,32,86475
케비어,캐비어,6,626
지루성샹푸,지루성 샴푸,32,16
셤푸,샴푸,0,8671
글뿌리오감,글뿌리오감톡톡,593,27376
남성츄리닝,겨울남성츄리닝,560693,597503
한율서담기초,한율서담기초세트,1357,593744
암워이치약,암웨이치약,0,1943
남성트렁크,트렁크,565642,15159
웨킹화,워킹화,0,18505
ks,kt,1999,2796
토퍼,면토퍼,2380,0
세제,세재,5566,9
세재,세제,9,5566
스타킹,기모스타킹,30479,91619
lg드롬스타일러,트롬스타일러,41107,14346
남성구수다운,남성구다운,66253,635901
등산복,등산복세트,3124,595855
알집매트,알집매트범퍼품,92877,92878
탐모샴푸,탈모샴푸,8671,8850
베리떼 쿠션파운데이션,제니하우스파운데이션,317,123866
노트북,삼성노트북,14665,31712
리앤케이,리엔케이,0,260
한성 컴퓨터 p53m,한성 컴퓨터,1615,1615
엘렌실라 마스크팩,엘렌실라 인트라셀 마스크팩,158,158
닉스팯ㄱㅇ,닉스패딩,0,71282
구스조끼,여성구스조끼,50287,706066
삼온,삼원,0,516
힐라본딩바지,본딩바지,101179,101164
범퍼폼,범퍼,0,13479
아너스물걸레청소기,아너스듀얼물걸레청소기,84498,102562
식기세척기,lg식기세척기,9538,36432
동양매직식기세척기,식기세척기,25306,9538
18k,14k,22043,135445
요거트메이커,요거트제조기,7831,2366
아아라이너,아이라이너,54428,1368
세탁기,세탁기트롬,1906,1961
메제부추,메쎄푸추,99,1477
남성트레이닝복,카파트레이닝복,566178,18267
칭대,침대,0,92472
마담엘레강스앙상블코디,마담엘레강스,39454,17579
듀유,두유,1,1298
아디다스속옷,아디다스여성속옷,70012,726631
아트비,아트비매트,0,92873
그릇셋트,그릇세트,19050,598007
티셔츠,여성티셔츠,375751,988739
무늬베이직,무늬울베이직,121867,159955
미미스케츠북,미미스케치북,0,0
유이 부츠,유아부츠,109,116659
신창숙,신창경,0,0
샌더슨침구가격 ,샌더슨침구,72312,56839
메트리스 스커트,메트리스 스커트K,79,79
갤럭시s5,갤럭시j5,164338,163407
본즉,본죽,0,77
비비보,비비고,0,84
나비엔 온수매트,나비엔 온수,8,8
풍년압력솥베르뚜g,풍년압력솥,49152,3117
신탁책상,식탁책상,26271,48227
신탁겸책상,식탁겸책상,56205,77826
파랑점퍼,여성파랑점퍼,128077,778809
스마트폰,삼성 스마트폰,10555,18142
누루틈마기,노루틈마기,21,0
자이늘,자이글,0,32
삼원 온슈매트,삼원 온수매트,516,516
모간 케이프코트,케이프코트,9,112125
일월전기매트,일월매트,102726,93062
마몽드핸드크림,마몽드로즈모이처핸드크림,56935,80057
마몽드핸드크림,핸드크림,56935,56174
옥크,오크,1,6563
디고다아로니아,지고다아로니아,26178,32486
창문마개,노루창문틈마개,6839,5984
오토비스물걸레청소기,오토비스 자동물걸레 청소기,213776,34
아르떼,아르테,1568,717
캐리아,캐리어,0,21229
아이오페 에어쿠션,아이오페에어쿠션rx,507,93666
김무열 굿라인 타이트닝 마시지롤러,김무열 굿라인 타이트닝,5,5
원수메트,원수매트,171,92878
네차,네파,0,13078
맨투맨,학생맨투맨,78889,91398
슈퍼닥터칸,닥터칸,79718,25361
닥터칸,슈퍼닥터칸,25361,79718
롯데홈쇼핑,롯데홈쇼핑모피코트,739371,829032
야노시,야노시호,103824,57
해외여행,호주여행,39287,35640
일곤여행,일본여행,34379,45654
크리스마슽리,크리스마스트리,0,1353
아이챌린지,아이챌린지 1단계,145,145
이경재녹용,이경제녹용,171,235
글라스락링테이퍼,글 라스락네오,18216,4335
리클라이너쇼파,상일리베아리클라이너쇼파,7554,7554
남성운동화,운동화,597153,45621
gs홈쇼핑미소니머플러,미소니머플러,69816,24168
gs샵디토미쏘니일루쏘머플러,gs샵미쏘니일루쏘머플러,40284,72023
알집매트 1 1,알집매트1 1,92877,516239
14k쥬얼리세트,쥬얼리세트,733085,614154
아메리칸투어리스터세트,아메리칸투어리스터 소프트,598647,6043
아메리칸투어리스터 소프트,아메리칸투어리스터세트,6043,598647
원더브라세트,원더브라,643996,326
아디다스 드로즈,아디다스롱드로즈,59951,231017
까사보니따,까사보니타,6,42
이연복칠리새우,이연복칠리새우와동파육,1182,1182
이혜정,이혜정폭립,24,105
크림하우스,크림하우스매트,165461,254492
블루베리,천호 블루베리,4122,416
아토팜방송,아토팜,2102,400
카페트,페딩카페트,25278,25314
아일랜드 진열장,아일랜드수납장,37801,60419
금강토탈,금강토탈라이프,4565,2135
콜롬비아,콜롬비아우주복,422,8922
남성트레이닝복,트레이닝복,566178,12518
댄비,덴비,1,1634
맥스클렌져,맥스클렌져 전동,10786,10786
맥스클렌져 전동,맥스클렌져 진동,10786,10786
스탐큐,스팀큐,0,14
아이챌린지 1단계,아이챌린지 ,145,145
아이챌린지 1단계,아이챌린지,145,145
한일스텐냄비,스텐냄비,54704,48332
1인용침더,1인용침대,451772,541439
